facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Molos Dispensary,0.281005,35.9983223,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
Molosirwe dispensary,0.1345644,35.955773,Level 2,Baringo,Mogotio,Kisanana,open,Dispensary,Government/Public Entity
Mombwo Dispensary,-0.0986135,35.2355814,Level 2,Nandi,Tinderet,Songhor/Soba,open,Dispensary,Government/Public Entity
Momoniat Health Centre,-0.2378268,35.450222,Level 3,Kericho,Kipkelion East,Chepseon,open,Health Center,Government/Public Entity
Morijo (KEC) Dispensary,1.3270357,36.631702,Level 2,Samburu,Samburu North,Angata Nayokie,open,Dispensary,Faith Based
Morijo Loita Health Centre,-1.7081717,35.8025646,Level 3,Narok,Narok South,Loita,open,Health Center,Government/Public Entity
Morulem Dispensary,1.9759619,36.0707235,Level 2,Turkana,Turkana East,Lokori/Kochodin,open,Dispensary,Government/Public Entity
Mosiro Dispensary,-1.3912708,36.1170073,Level 2,Narok,Narok East,Mosiro,open,Dispensary,Government/Public Entity
Mother Franciscan Mission Health Centre,0.2016657,35.084348,Level 3,Nandi,Chesumei,Chemundu/Kapng'etunyi,open,Health Center,Faith Based
Motosiet Health Centre,0.9909337,35.1547499,Level 2,Trans Nzoia,Cherangany,Motosiet,open,Health Center,Government/Public Entity
Mpalla Dispensary,0.3236175,36.9039461,Level 2,Laikipia,Laikipia North,Segera,open,Dispensary,Government/Public Entity
Msekekwa Health Centre,0.7583098,35.5117824,Level 3,Elgeyo Marakwet,Keiyo North,Kapchemutwa,open,Health Center,Government/Public Entity
Mt Elgon Hospital,1.0159974,35.0101269,Level 3,Trans Nzoia,Kiminini,Hospital,open,Health Center,Government/Public Entity
Mt Elgon National Park Dispensary,1.0396329,34.7925794,Level 2,Trans Nzoia,Endebess,Endebess,open,Health Center,Government/Public Entity
Mtaragon Health Centre,-0.111901,35.4204079,Level 3,Kericho,Kipkelion West,Kamasian,open,Health Center,Government/Public Entity
Muchukwo Dispensary,0.5958787,35.6726877,Level 2,Baringo,Baringo North,Barwessa,open,Dispensary,Government/Public Entity
Mugango Dispensary,-0.7189302,35.382689,Level 2,Bomet,Bomet Central,Singorwet,open,Dispensary,Government/Public Entity
Mugumoini Dispensary (Kipkelion),-0.0131253,35.4740741,Level 2,Kericho,Kipkelion East,Tendeno/Sorget,open,Dispensary,Government/Public Entity
Mugurin Dispensary,0.0986866,36.0391355,Level 2,Baringo,Mogotio,Kisanana,open,Dispensary,Government/Public Entity
Muhotetu Dispensary,0.2855176,36.3550238,Level 2,Laikipia,Laikipia West,Marmanet,open,Dispensary,Government/Public Entity
Mulot Catholic Dispensary,-0.939516,35.4334535,Level 2,Narok,Narok West,Ilmotiook,open,Dispensary,Faith Based
Mungwa Health Centre,1.2702663,35.5737128,Level 2,Elgeyo Marakwet,Marakwet East,Embobut/Embulot,open,Health Center,Government/Public Entity
Muramati Dispensary,0.1232877,37.077035,Level 2,Laikipia,Laikipia North,Segera,open,Dispensary,Government/Public Entity
Murgor Hills Dispensary,0.5592483,35.0837711,Level 2,Uasin Gishu,Turbo,Tapsagoi,open,Dispensary,Government/Public Entity
Murgusi Dispensary,0.6121511,34.9918192,Level 2,Uasin Gishu,Turbo,Ngenyilel,open,Dispensary,Government/Public Entity
Muricho Dispensary,-0.1183947,35.8589048,Level 2,Nakuru,Rongai,Visoi,open,Dispensary,Government/Public Entity
Muskut Health Centre,0.3692393,35.6270452,Level 3,Elgeyo Marakwet,Keiyo South,Soy North,open,Health Center,Government/Public Entity
Mutara Dispensary,0.0894868,36.6576478,Level 2,Laikipia,Laikipia West,Salama,open,Dispensary,Government/Public Entity
Mutarakwa Dispensary (Molo),-0.4752566,35.9879043,Level 2,Nakuru,Njoro,Kihingo,open,Dispensary,Government/Public Entity
Muthegera Dispensary,0.2130382,36.3243195,Level 2,Laikipia,Laikipia West,Igwamiti,open,Dispensary,Government/Public Entity
Muyengwet Dispensary,0.5206958,35.3619916,Level 2,Uasin Gishu,Moiben,Tembelio,open,Dispensary,Government/Public Entity
Mwenje Dispensary,0.4424613,36.2919427,Level 2,Laikipia,Laikipia West,Githiga,open,Dispensary,Government/Public Entity
Mwituria Dispensary,0.0320633,36.7251767,Level 2,Laikipia,Laikipia East,Ngobit,open,Dispensary,Government/Public Entity
Nabkoi Dispensary,0.1394386,35.4655819,Level 2,Uasin Gishu,Kesses,Tarakwa,open,Dispensary,Government/Public Entity
Nachecheyet Dispensary,1.4993519,35.1193448,Level 2,West Pokot,West Pokot,Riwo,open,Dispensary,Government/Public Entity
Nachola Health Centre,1.8013119,36.7021947,Level 3,Samburu,Samburu North,Nachola,open,Health Center,Government/Public Entity
Nachukui Dispensary,4.0652381,35.8814676,Level 2,Turkana,Turkana North,Lakezone,open,Dispensary,Government/Public Entity
Nacoharg Medical Centre,-0.7784794,36.4281979,Level 2,Nakuru,Naivasha,Hellsgate,open,Medical Center,Private
Nadapal Dispensary,3.0738892,35.5088164,Level 2,Turkana,Loima,Turkwel,open,Dispensary,Faith Based
Nadoto Dispensary,3.0857588,36.0924809,Level 2,Turkana,Turkana Central,Kerio Delta,open,Dispensary,Government/Public Entity
Naikara Health Centre,31.3288289,48.6217251,Level 3,Narok,Narok West,Naikarra,open,Health Center,Government/Public Entity
Nairagie-Enkare Health Centre,-1.0463886,36.1629511,Level 3,Narok,Narok East,Keekonyokie,open,Hospital,Government/Public Entity
Naisoya Dispensary,-0.9587902,35.8570258,Level 2,Narok,Narok North,Nkareta,open,Dispensary,Government/Public Entity
Naivasha Maximum Prison Health Centre,-0.7002588,36.4476842,Level 3,Nakuru,Naivasha,Viwandani,open,Health Center,Government/Public Entity
Naivasha (AIC) Medical Centre,-0.7650456,36.4449341,Level 2,Nakuru,Naivasha,Hellsgate,open,Medical Center,Faith Based
Nakalei Dispensary,2.5372126,36.2148317,Level 2,Turkana,Turkana South,Kalapata,open,Dispensary,Government/Public Entity
Nakurio Dispensary,2.8703167,36.1643483,Level 2,Turkana,Turkana Central,Kerio Delta,open,Dispensary,Government/Public Entity
Nakwamoru Health Centre,2.0533164,35.4316129,Level 3,Turkana,Turkana South,Kaputir,open,Health Center,Faith Based
Nalepo Medical Clinic,-1.095198,36.0852686,Level 2,Narok,Narok East,Mosiro,open,Dispensary,Private
Namanga Health Centre,-2.5430392,36.7874134,Level 3,Kajiado,Kajiado Central,Matapato South,open,Health Center,Government/Public Entity
Namelok Health Centre,-2.7151054,37.4543024,Level 3,Kajiado,Loitokitok,Kimana,open,Health Center,Government/Public Entity
Namelok Medical Clinic,1.0982091,36.6979378,Level 2,Samburu,Samburu Central,Maralal,open,Medical Clinic,Private
Nameyana Dispensary,3.5017713,35.3364052,Level 2,Turkana,Loima,Turkwel,open,Dispensary,Government/Public Entity
Namoruputh (PAG) Health Centre,2.8437473,35.0402472,Level 3,Turkana,Loima,Loima,open,Health Center,Faith Based
Namukuse Dispensary,3.4895846,35.9302044,Level 2,Turkana,Turkana Central,Kang'atotha,open,Dispensary,Government/Public Entity
Sonoscan Imaging Centre (Nyeri),-0.4799046,37.1257578,Level 3,Nyeri,NA,Karatina,open,Stand-Alone service,Private
Nanyuki Maternity And Nursing Home,0.0218586,37.0685432,Level 3,Laikipia,Laikipia East,Thingithu,open,Hospital,Private
Naoros Dispensary,3.1289173,36.0659113,Level 2,Turkana,Turkana Central,Kang'atotha,open,Dispensary,Government/Public Entity
Napeililim Dispensary,3.4629851,35.3772116,Level 2,Turkana,Loima,Turkwel,open,Dispensary,Faith Based
Napusimoru Dispensary,2.6654757,35.8467213,Level 2,Turkana,Turkana South,Lokichar,open,Dispensary,Government/Public Entity
Nariokotome Dispensary,4.1362032,35.8568956,Level 2,Turkana,Turkana North,Lakezone,open,Dispensary,Faith Based
Naroosura Health Centre,-1.5418584,35.8594332,Level 3,Narok,Narok South,Maji Moto/Naroosura,open,Health Center,Government/Public Entity
Nasolot Dispensary,1.8218746,35.4001761,Level 2,West Pokot,Pokot Central,Sekerr,open,Dispensary,Faith Based
Nauyapong Dispensary,2.4160227,34.9561732,Level 2,West Pokot,Pokot North,Alale,open,Dispensary,Government/Public Entity
Chemororoch Dispensary,0.7738541,35.1456984,Level 2,Uasin Gishu,Soy,Kipsomba,open,Dispensary,Government/Public Entity
Ndabibi Dispensary,-0.7118333,36.2190798,Level 2,Nakuru,Naivasha,Maeilla,open,Dispensary,Government/Public Entity
Ndalat (PCEA) Health Centre,0.5152285,35.1376193,Level 3,Nandi,Mosop,Ndalat,open,Health Center,Faith Based
Ndamichonik Dispensary,-0.8068176,35.1932185,Level 2,Bomet,Chepalungu,Kong'asis,open,Dispensary,Government/Public Entity
Ndarawetta Health centre,-0.6758715,35.3724738,Level 3,Bomet,Bomet Central,Ndaraweta,open,Health Center,Government/Public Entity
Ndindika Health Centre,0.4154451,36.3197371,Level 3,Laikipia,Laikipia West,Githiga,open,Hospital,Government/Public Entity
Ndoinet Dispensary,-0.4156531,35.5370854,Level 2,Nakuru,Kuresoi North,Kiptororo,open,Dispensary,Government/Public Entity
Ndonyo Wasin Health Centre,1.3481412,37.4368423,Level 2,Samburu,Samburu East,Waso,open,Health Center,Government/Public Entity
Neema Tunza Medical Clinic,1.0381707,35.0037063,Level 2,Trans Nzoia,Kwanza,Bidii,open,Medical Clinic,Private
Neissuit Dispensary,-0.3931618,35.8990235,Level 2,Nakuru,Njoro,Nessuit,open,Dispensary,Government/Public Entity
Nerkwo Dispensary,0.9146938,35.509535,Level 2,Elgeyo Marakwet,Marakwet West,Moiben/Kuserwo,open,Dispensary,Faith Based
Tiba Dental Clinic (Nairobi),-1.3186953,36.8961554,Level 2,Nairobi,NA,Pipeline,open,other,Private
Ngarua Catholic Dispensary,0.4113855,36.3196361,Level 2,Laikipia,Laikipia West,Githiga,open,Dispensary,Faith Based
Ngarua Health Centre,0.2780758,36.3164429,Level 3,Laikipia,Laikipia West,Marmanet,open,Health Center,Government/Public Entity
Ngatataek Health Centre,-2.2809595,36.8080648,Level 3,Kajiado,Kajiado Central,Matapato North,open,Health Center,Government/Public Entity
Ngendalel Dispensary,-0.2111561,35.4166043,Level 2,Kericho,Kipkelion West,Kipkelion,open,Dispensary,Government/Public Entity
Ngenyilel Dispensary,0.5660107,34.990383,Level 2,Uasin Gishu,Turbo,Ngenyilel,open,Dispensary,Government/Public Entity
Ngeria South Dispensary,0.3103487,35.2704195,Level 2,Uasin Gishu,Kapseret,Megun,open,Dispensary,Government/Public Entity
Ngetmoi Dispensary,0.4188929,35.8198543,Level 2,Baringo,Baringo Central,Kabarnet,open,Dispensary,Government/Public Entity
Nginyang Health Centre,0.9694538,36.016556,Level 3,Baringo,Tiaty East,Loiyamorok,open,Health Center,Government/Public Entity
Ngito Health Centre,-0.9209687,35.4838219,Level 2,Narok,Narok West,Ilmotiook,open,Health Center,Faith Based
Ngobit Dispensary,-0.105071,36.665818,Level 2,Laikipia,Laikipia East,Ngobit,open,Health Center,Government/Public Entity
Ngoron Dispensary,1.2877677,35.7846149,Level 2,Baringo,East Pokot,Tirioko,open,Dispensary,Government/Public Entity
Ngubereti Health Centre,0.0560403,35.9046014,Level 3,Baringo,Mogotio,Mogotio,open,Health Center,Government/Public Entity
Ngutuk-Engiron Dispensary,0.7012299,37.3478338,Level 2,Samburu,Samburu East,Wamba West,open,Dispensary,Government/Public Entity
Njipiship Dispensary,-0.9358891,35.0046789,Level 2,Narok,Transmara East,Ololmasani,open,Dispensary,Government/Public Entity
Njoro (PCEA) Dispensary,-0.3255667,35.9438296,Level 2,Nakuru,Njoro,Njoro,open,Dispensary,Faith Based
Njukini Health Centre (Loitokitok),-3.1708126,37.775355,Level 3,Kajiado,Loitokitok,Rombo,open,Health Center,Government/Public Entity
Nkama Dispensary,-2.9406172,37.5509224,Level 2,Kajiado,Loitokitok,Kuku,open,Dispensary,Government/Public Entity
Nkararo Health Centre,-1.0738048,34.7577767,Level 3,Narok,Transmara West,Lolgorian,open,Health Center,Government/Public Entity
Nkareta Dispensary,-0.9661452,35.7444199,Level 2,Narok,Narok North,Nkareta,open,Dispensary,Government/Public Entity
Nkorinkori Dispensary,-1.028695,35.5071632,Level 2,Narok,Narok West,Ilmotiook,open,Dispensary,Government/Public Entity
Ntulele Health centre,-1.0923034,36.0913506,Level 3,Narok,Narok East,Mosiro,open,Health Center,Government/Public Entity
Nturukuma Dispensary,0.0452223,37.0870801,Level 2,Laikipia,Laikipia East,Nanyuki,open,Dispensary,Government/Public Entity
ACK Nturumeti Dispensary,-1.1690812,36.0970881,Level 2,Narok,Narok East,Mosiro,open,Dispensary,Faith Based
Nyakiambi Dispensary,-0.3012871,35.8517501,Level 2,Nakuru,Molo,Elburgon,open,Dispensary,Government/Public Entity
Nyamamithi Dispensary,0.1121834,36.2217638,Level 2,Nakuru,Rongai,Solai,open,Dispensary,Government/Public Entity
Nyamathi Dispensary,-0.7808108,36.5128331,Level 2,Nakuru,Naivasha,Hellsgate,open,Dispensary,Government/Public Entity
Nyaru Dispensary,0.3264902,35.5776937,Level 2,Elgeyo Marakwet,Keiyo South,Chepkorio,open,Dispensary,Government/Public Entity
NYS Dispensary (Gilgil),-0.4784137,36.3168778,Level 2,Nakuru,Gilgil,Gilgil,open,Dispensary,Government/Public Entity
NYS Dispensary (Keiyo),0.3099322,35.6748134,Level 2,Elgeyo Marakwet,Keiyo South,Soy South,open,Dispensary,Government/Public Entity
NYS Dispensary (Kirimun),0.7415786,36.82156,Level 2,Samburu,Samburu Central,Lodokejek,open,Dispensary,Government/Public Entity
NYS Karate Dispensary,-0.648741,36.489315,Level 2,Nakuru,Naivasha,Biashara,open,Dispensary,Government/Public Entity
Nzoia Dispensary,0.9247033,35.1335433,Level 2,Trans Nzoia,Cherangany,Motosiet,open,Health Center,Government/Public Entity
Ochii Dispensary,0.2957872,35.7774331,Level 2,Baringo,Baringo Central,Tenges,open,Dispensary,Government/Public Entity
Ogilgei Dispensary,-0.296033,35.9584811,Level 2,Nakuru,Rongai,Mosop,open,Dispensary,Government/Public Entity
Ol-Arabel Dispensary,0.2758399,36.2543076,Level 2,Baringo,Marigat,Mochongoi,open,Dispensary,Government/Public Entity
Olasiti (AIC) Dispensary,-1.080135,36.2363783,Level 2,Narok,Narok East,Suswa,open,Dispensary,Government/Public Entity
Olbutyo Health Centre,-0.8543188,35.2720351,Level 3,Bomet,Chepalungu,Kong'asis,open,Health Center,Government/Public Entity
Olchorro Health Centre,-0.8293733,35.9984698,Level 3,Narok,Narok North,Melili,open,Health Center,Government/Public Entity
Oldanyati Health Centre,-1.0741453,34.6944262,Level 3,Narok,Transmara West,Keyian,open,Health Center,Government/Public Entity
Olderkesi Dispensary,-1.7108926,35.5633972,Level 2,Narok,Narok West,Naikarra,open,Dispensary,Government/Public Entity
Dutch Dental Care (Kwale),-4.2835214,39.5742065,Level 2,Kwale,NA,Gombato bongwe,open,Stand-Alone service,Private
Oldonyo Nyokie Dispensary,-1.7826621,36.3427232,Level 2,Kajiado,Kajiado West,Magadi,open,Dispensary,Government/Public Entity
Oldorko Dispensary,-1.765413,36.1892691,Level 2,Kajiado,Kajiado West,Magadi,open,Dispensary,Government/Public Entity
Oletukat Dispensary,-1.2163857,35.9360392,Level 2,Narok,Narok East,Ildamat,open,Dispensary,Government/Public Entity
Olgulului Health Centre,-2.5977271,36.9902919,Level 3,Kajiado,Loitokitok,Entonet/Lenkism,open,Health Center,Government/Public Entity
Olgumi Dispensary,-1.0984838,36.4359683,Level 2,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i,open,Dispensary,Government/Public Entity
Oljabet Health Centre,0.1732698,36.378033,Level 3,Laikipia,Laikipia West,Marmanet,open,Health Center,Government/Public Entity
Oljogi Dispensary,0.2813765,36.9443779,Level 2,Laikipia,Laikipia North,Segera,open,Dispensary,Private
Ol-Jorai Health Center,-0.5547095,36.153134,Level 3,Nakuru,Gilgil,Mbaruk/Eburu,open,Health Center,Government/Public Entity
Ol-Njorowa Medical Clinic,-0.7682836,36.4286793,Level 2,Nakuru,Naivasha,Hellsgate,open,Medical Clinic,Private
Olkinyei Dispensary,-1.184022,35.4069821,Level 2,Narok,Narok West,Siana,open,Dispensary,Government/Public Entity
Olkiramatian Dispensary,-1.8723295,36.1467947,Level 2,Kajiado,Kajiado West,Magadi,open,Dispensary,Government/Public Entity
Olkokwe Health Centre,0.137085,36.114167,Level 3,Baringo,Mogotio,Kisanana,open,Health Center,Government/Public Entity
Zamzam Nursing Home (MANDERA),3.9288879,41.2259814,Level 3,Mandera,NA,RHAMU,open,Nursing Home,Private
Ollessos Holy Family Dispensary,0.2133917,35.30684,Level 2,Nandi,Nandi Hills,Ol'lessos,open,Dispensary,Faith Based
Olmekenyu Health Centre,-0.8345029,35.668528,Level 3,Narok,Narok South,Melelo,open,Health Center,Government/Public Entity
Olmesutie Dispensary,-1.9067254,35.7303825,Level 2,Narok,Narok South,Loita,open,Dispensary,Government/Public Entity
Olmoran Health Centre,0.5378712,36.4908293,Level 3,Laikipia,Laikipia West,Ol-moran,open,Health Center,Government/Public Entity
Oloika Dispensary,-2.0391582,36.2124003,Level 2,Kajiado,Kajiado West,Magadi,open,Dispensary,Government/Public Entity
Oloiyangalani Dispensary,-1.7586217,36.7018754,Level 2,Kajiado,Kajiado West,Keekonyokie,open,Dispensary,Government/Public Entity
Olokyin Health Centre,-0.9422733,35.3864604,Level 3,Bomet,Bomet East,Kipreres,open,Health Center,Government/Public Entity
Ololpironito Health Centre,-0.9668619,36.08406,Level 3,Narok,Narok East,Ildamat,open,Health Center,Government/Public Entity
Olooltepes Dispensary,-1.8859144,37.046442,Level 2,Kajiado,Kajiado West,Keekonyokie,open,Dispensary,Government/Public Entity
Olooseos Dispensary,-1.4665747,36.6630227,Level 2,Kajiado,Kajiado West,Keekonyokie,open,Dispensary,Government/Public Entity
Olorika Dispensary,-2.7491518,37.665189,Level 2,Kajiado,Loitokitok,Kuku,open,Dispensary,Government/Public Entity
Olorte Dispensary,-1.9570143,35.8365976,Level 2,Narok,Narok South,Loita,open,Dispensary,Government/Public Entity
Olosho-Oibor Dispensary,-1.4132667,36.60086,Level 2,Kajiado,Kajiado West,Ewuaso Oo Nkidong'i,open,Dispensary,Government/Public Entity
Olpajeta Dispensary,0.0619569,36.8118466,Level 2,Laikipia,Laikipia North,Segera,open,Dispensary,Private
Olposimoru Dispensary,-0.593901,35.8375603,Level 2,Narok,Narok North,Olposimoru,open,Dispensary,Government/Public Entity
Ol-Rongai Dispensary (Rongai),-0.1405588,36.0175828,Level 2,Nakuru,Rongai,Menengai West,open,Dispensary,Government/Public Entity
Oltepesi Dispensary,-1.5588391,36.4765737,Level 2,Kajiado,Kajiado West,Keekonyokie,open,Dispensary,Government/Public Entity
Oltiasika Dispensary,-2.6753954,37.8556662,Level 2,Kajiado,Loitokitok,Kuku,open,Dispensary,Government/Public Entity
Ongata Dispensary,0.3579125,35.3089053,Level 2,Uasin Gishu,Kapseret,Megun,open,Dispensary,Government/Public Entity
Ongata Naado Dispensary,-1.2509272,35.9936808,Level 2,Narok,Narok East,Mosiro,open,Dispensary,Government/Public Entity
Opiroi Health Centre,1.159108,36.8115372,Level 2,Samburu,Samburu North,Baawa,open,Dispensary,Government/Public Entity
Orinie (AIC) Clinic,-1.99478,36.8663396,Level 2,Kajiado,Kajiado Central,Dalalekutuk,open,Medical Clinic,Faith Based
Oserian Health Centre,-0.8252095,36.2982645,Level 3,Nakuru,Naivasha,Olkaria,open,Health Center,Private
Osinoni Dispensary,-1.019036,34.8052024,Level 2,Narok,Transmara West,Shankoe,open,Dispensary,Government/Public Entity
Osorongai Dispensary,0.5673471,34.9559743,Level 2,Uasin Gishu,Turbo,Ngenyilel,open,Dispensary,Government/Public Entity
Osupuko Dispensary,-0.9397204,34.9101357,Level 2,Narok,Transmara West,Kilgoris Central,open,Dispensary,Government/Public Entity
Our Lady Of Lords Dispensary,0.625015,35.0513617,Level 2,Uasin Gishu,Turbo,Tapsagoi,open,Dispensary,Faith Based
Panda Flowers Medical Clinic,-0.6745128,36.433102,Level 2,Nakuru,Naivasha,Biashara,open,Medical Clinic,Private
Pesi Dispensary (Laikipia West),0.085974,36.5783009,Level 2,Laikipia,Laikipia West,Salama,open,Dispensary,Government/Public Entity
Piave Dispensary,-0.3412476,35.9925507,Level 2,Nakuru,Njoro,Njoro,open,Dispensary,Government/Public Entity
Pioneer Health Centre,0.5062682,35.2686705,Level 3,Uasin Gishu,Kapseret,Kipkenyo,open,Health Center,Government/Public Entity
Poi Dispensary,0.7412839,35.8117978,Level 2,Baringo,Baringo North,Saimoi/Kipsaraman,open,Dispensary,Government/Public Entity
Poole Dispensary,1.4086569,35.0313289,Level 2,West Pokot,West Pokot,Riwo,open,Dispensary,Government/Public Entity
Porro Health Centre,1.2191337,36.5937871,Level 3,Samburu,Samburu Central,Porro,open,Health Center,Government/Public Entity
Prison Dispensary,-0.2631625,36.0552602,Level 2,Nakuru,Nakuru West,London,open,Dispensary,Government/Public Entity
Ptoyo Dispensary,1.6533574,35.2443679,Level 2,West Pokot,West Pokot,Endugh,open,Dispensary,Government/Public Entity
Pwani (GOK) Dispensary,-0.3918531,36.0250244,Level 2,Nakuru,Njoro,Lare,open,Dispensary,Government/Public Entity
Radat dispensary,0.2993986,35.922387,Level 2,Baringo,Mogotio,Emining,open,Dispensary,Government/Public Entity
Rapha Medical Centre,1.0138067,35.0069577,Level 2,Trans Nzoia,Kiminini,Hospital,open,Medical Center,Private
