"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Highway Medicare Services (Meru)",-0.0660577,37.6640216,"Level 3","Meru",NA,"Nkuene","open","Medical Center","Private",10726,"Meru",TRUE
"Mwangaza Medical Clinic (Mombasa)",-4.0146036,39.6963342,"Level 2","Mombasa",NA,"Kadzandani","open","Dispensary","Private",10727,"Mombasa",TRUE
"Mwangaza Medical Clinic (Baringo)",0.30755,36.2262743,"Level 2","Baringo",NA,"Mochongoi ward","open","Medical Clinic","Private",10728,"Baringo",TRUE
"St. Mary's Ack Mugumo Dispensary (Kirinyaga)",-0.4292203,37.3091812,"Level 2","Kirinyaga",NA,"Kabare","open","Dispensary","Faith Based",10729,"Kirinyaga",TRUE
"Joy Dental Clinic (Machakos)",-1.5209044,37.2680181,"Level 2","Machakos",NA,"Machakos township","open","other","Private",10730,"Machakos",TRUE
"Netcare Medical And Audiology Clinic (Machakos)",-1.5210432,37.267954,"Level 3","Machakos",NA,"Machakos","open","Medical Clinic","Private",10731,"Machakos",TRUE
"Yekanga Dispensary (Makueni)",-1.9181968,37.835679,"Level 2","Makueni",NA,"Mavidini","open","Dispensary","Government/Public Entity",10732,"Makueni",TRUE
"High View Family Medical Clinic (Nairobi)",-1.2104901,36.8706885,"Level 2","Nairobi",NA,"Roysambu","open","Medical Clinic","Private",10733,"Nairobi",TRUE
"Baraka Road Springs Clinic (Kajiado)",-1.4830694,36.9661171,"Level 2","Kajiado",NA,"Kitengela","open","Health Center","Private",10734,"Kajiado",TRUE
"Wiga Health Centre (Homa Bay)",-0.5663568,34.4758199,"Level 3","Homa Bay",NA,"Central","open","Health Center","Government/Public Entity",10735,"Homa Bay",TRUE
"Community Diagnostic Centre (Kajiado)",-1.4769356,36.9568747,"Level 2","Kajiado",NA,"Kitengela town","open","Medical Clinic","Private",10736,"Kajiado",TRUE
"Rohmec Medical Centre (Meru)",0.0251168,37.7860107,"Level 2","Meru",NA,"Nyaki East","open","Medical Clinic","Private",10737,"Meru",TRUE
"Shalimar Flowers Mahee Farm Clinic (Nyandarua)",-0.2987133,36.4075238,"Level 2","Nyandarua",NA,"Kaimbaga","open","Medical Clinic","Private",10738,"Nyandarua",TRUE
"Medien Health Care Clinic (Nyeri)",-0.4268895,36.9605105,"Level 2","Nyeri",NA,"Rware","open","Medical Clinic","Private",10739,"Nyeri",TRUE
"Khalaba Health Centre (Kakamega)",0.4273274,34.5483162,"Level 3","Kakamega",NA,"Khalaba","open","Health Center","Government/Public Entity",10740,"Kakamega",TRUE
"Meloni Medical Clinic (Bungoma)",0.7849916,34.512918,"Level 2","Bungoma",NA,"Chesikaki","open","Medical Clinic","Private",10741,"Bungoma",TRUE
"Equity Afia Katani (Machakos)",-1.3736838,36.933654,"Level 3","Machakos",NA,"Katani","open","Health Center","Private",10742,"Machakos",TRUE
"Tawakal Medical Clinic (Mombasa)",-4.060795,39.6768083,"Level 2","Mombasa",NA,"Mji wa Kale/ Makadara","open","Medical Clinic","Private",10743,"Mombasa",TRUE
"Livingcare Medical Centre (Nyeri)",-0.4270605,36.960697,"Level 2","Nyeri",NA,"Rware","open","Medical Clinic","Private",10744,"Nyeri",TRUE
"Mountain Balm Medical Centre (Nyeri)",-0.4277606,36.9605453,"Level 2","Nyeri",NA,"Rware","open","Medical Center","Private",10745,"Nyeri",TRUE
"Fhok Family Care Medical Centre Kenya (Kiambu)",-1.0368512,37.0722698,"Level 3","Kiambu",NA,"Township","open","Medical Center","Non-Governmental Organization",10746,"Kiambu",TRUE
"Kisauni Health Centre (Mombasa)",-4.0261876,39.6938572,"Level 3","Mombasa",NA,"Freretown","open","Health Center","Government/Public Entity",10747,"Mombasa",TRUE
"Venus Apollo Medical Centre (Kakamega)",0.280362,34.7251669,"Level 3","Kakamega",NA,"Sheywe","open","Health Center","Private",10748,"Kakamega",TRUE
"Taifa Royal Diagnostic Medical Clinic (Meru)",0.0319179,37.7641107,"Level 2","Meru",NA,"Nyaki East","open","Medical Clinic","Private",10749,"Meru",TRUE
"Buruburu Dental Centre (Machakos)",-1.5234295,37.2656344,"Level 2","Machakos",NA,"Machakos","open","other","Private",10750,"Machakos",TRUE
"Pathologist Lancet Kenya (Machakos)",-1.5233825,37.2656106,"Level 2","Machakos",NA,"Machakos","open","other","Private",10751,"Machakos",TRUE
"Asher's Care Hospital (Nakuru)",-0.7196436,36.4382542,"Level 3","Nakuru",NA,"Naivasha town","open","Medical Center","Private",10752,"Nakuru",TRUE
"Pharmlex (Embu)",-0.6866143,37.6487786,"Level 2","Embu",NA,"Mavuria","open","Medical Center","Private",10753,"Embu",TRUE
"Yatta Health Centre (Kitui)",-1.4733558,37.8376061,"Level 3","Kitui",NA,"Yatta/Vonza","open","Health Center","Government/Public Entity",10754,"Kitui",TRUE
"Penda Medical Centre -Pipeline (Nairobi)",-1.318149,36.8956721,"Level 3","Nairobi",NA,"Pipeline","open","Medical Center","Private",10755,"Nairobi",TRUE
"Zeal To Heal Medical Clinic (Muranga)",-0.8851917,36.9790933,"Level 2","Muranga",NA,"Ithiru","open","Medical Clinic","Private",10756,"Muranga",TRUE
"Distalcare Dental Clinic (Nairobi)",-1.2793771,36.9048271,"Level 2","Nairobi",NA,"Komarock","open","other","Private",10757,"Nairobi",TRUE
"Angelida Chemist (Tana River County)",-0.7247199,39.0165749,"Level 2","Tana River",NA,"Bangali","open","Dispensary","Private",10758,"Tana River",TRUE
"Moonlight Medical Centre (Nairobi)",-1.2487906,36.8730046,"Level 2","Nairobi",NA,"Utalii","open","Dispensary","Private",10759,"Nairobi",TRUE
"Pronto Health Care (Nakuru)",-0.7182966,36.4359681,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10760,"Nakuru",TRUE
"Kamuyu Lifecare Medical Clinic Limited (Nyeri)",-0.4293832,36.9235938,"Level 2","Nyeri",NA,"Kamakwa","open","Health Center","Private",10761,"Nyeri",TRUE
"Midline Ultrasound And Imaging Centre (Nakuru)",-0.7195642,36.4379515,"Level 2","Nakuru",NA,"Lakeview","open","Stand-Alone service","Private",10762,"Nakuru",TRUE
"St.francis Dispensary Katani (Machakos)",-1.3355989,36.987473,"Level 2","Machakos",NA,"Muthwani","open","Dispensary","Faith Based",10763,"Machakos",TRUE
"Lelad Specialist Clinic (Machakos)",-1.5185807,37.2640681,"Level 3","Machakos",NA,"Machakos","open","Medical Clinic","Private",10764,"Machakos",TRUE
"Jaycee Medical Clinic (Kwale)",-3.7929097,39.2640776,"Level 2","Kwale",NA,"Chengoni","open","Medical Clinic","Private",10765,"Kwale",TRUE
"Lake Crest Clinic (Homabay)",-0.4383077,34.2211406,"Level 3","Homa Bay",NA,"Kasgunga","open","Medical Clinic","Private",10766,"Homa Bay",TRUE
"Hopekin Medical Services (Machakos)",-1.3945151,36.9377984,"Level 2","Machakos",NA,"Syokimau/Mlolongo","open","Medical Clinic","Private",10767,"Machakos",TRUE
"Carefine Health Care Limited (Machakos)",-1.52348,37.2652533,"Level 2","Machakos",NA,"Machakos","open","Medical Clinic","Private",10768,"Machakos",TRUE
"Riverside Medical Clinic - Athi River (Machakos)",-1.4457778,36.9778264,"Level 2","Machakos",NA,"Athi River","open","Medical Clinic","Private",10769,"Machakos",TRUE
"Medicross Malindi (Kilifi)",-3.2118252,40.1182698,"Level 2","Kilifi",NA,"Malindi town","open","Medical Clinic","Private",10770,"Kilifi",TRUE
"Mbirikene Medical Centre (Meru)",0.0159408,37.8393221,"Level 2","Meru",NA,"Nyaki East","open","Medical Clinic","Private",10771,"Meru",TRUE
"Ng'undu- Kamulu Health Centre (Nairobi)",-1.2771929,37.0692221,"Level 3","Nairobi",NA,"Ruai ward","open","Health Center","Government/Public Entity",10772,"Nairobi",TRUE
"Karumandi Medical Centre (Kirinyaga)",-0.4474964,37.3486818,"Level 3","Kirinyaga",NA,"Karumande","open","Medical Center","Private",10773,"Kirinyaga",TRUE
"Equity Afia Nyahururu (Laikipia)",0.0377175,36.3643087,"Level 2","Laikipia",NA,"Igwamiti","open","Medical Center","Private",10774,"Laikipia",TRUE
"Cefcare Medical (Kajiado)",-1.4827895,36.9591614,"Level 2","Kajiado",NA,"Kitengela town","open","Medical Clinic","Private",10775,"Kajiado",TRUE
"Grace Community Health Care (Kajiado)",-1.48513,36.9640433,"Level 2","Kajiado",NA,"Kitengela","open","Medical Clinic","Private",10776,"Kajiado",TRUE
"Athi Complex And Community Health Centre (Kajiado)",-1.4821684,36.9593953,"Level 3","Kajiado",NA,"Kitengela","open","Health Center","Private",10777,"Kajiado",TRUE
"Al Kamir Medical Clinic (Kilifi)",-3.3539123,40.0209939,"Level 2","Kilifi",NA,"Watamu","open","Medical Clinic","Private",10778,"Kilifi",TRUE
"Amani Community Medical Clinic (Kilifi)",-3.3487527,40.0158933,"Level 2","Kilifi",NA,"Watamu","open","Medical Clinic","Private",10779,"Kilifi",TRUE
"Daima Laboratory Limited (Machakos)",-1.5234179,37.2656769,"Level 2","Machakos",NA,"Machakos central","open","other","Private",10780,"Machakos",TRUE
"Ndere Health Centre (Siaya)",0.1373215,34.3830902,"Level 3","Siaya",NA,"Gem","open","Dispensary","Government/Public Entity",10781,"Siaya",TRUE
"Alfa Health Medical Clinic (Kiambu)",-1.2391,36.6006483,"Level 2","Kiambu",NA,"Nachu","open","Medical Clinic","Private",10782,"Kiambu",TRUE
"Lucter Medical Clinic (Murang'a)",-0.936645,37.0372583,"Level 2","Muranga",NA,"Ngararia","open","Medical Clinic","Private",10783,"Muranga",TRUE
"Pcea Naaro Women's Guild Dispensary (Murang'a)",-0.9254309,37.0225474,"Level 2","Muranga",NA,"Ng'araria","open","Dispensary","Faith Based",10784,"Muranga",TRUE
"Noble Medicare Centre (Kisumu)",-0.0765405,34.7288715,"Level 3","Kisumu",NA,"Kisumu West","open","Medical Center","Private",10785,"Kisumu",TRUE
"Timlifecare Medical Centre (Murang'a)",-0.8947441,37.0004794,"Level 2","Muranga",NA,"Ithiru","open","Medical Clinic","Private",10786,"Muranga",TRUE
"Kanyadet Dispensary (Siaya)",-0.0341297,34.4071029,"Level 2","Siaya",NA,"South Gem","open","Dispensary","Government/Public Entity",10787,"Siaya",TRUE
"Kwamang'eli Athi Community Healthcare (Machakos)",-1.4452015,36.9768118,"Level 3","Machakos",NA,"Athi River","open","Medical Clinic","Private",10788,"Machakos",TRUE
"Naivasha Dental (Nakuru)",-0.7184583,36.4362969,"Level 2","Nakuru",NA,"Naivasha town","open","Medical Clinic","Private",10789,"Nakuru",TRUE
"Kirinyaga Opticals (Kirinyaga)",-0.5004004,37.2792755,"Level 2","Kirinyaga",NA,"Kerugoya Ward","open","Stand-Alone service","Private",10790,"Kirinyaga",TRUE
"Royaldoc Clinic (Kajiado)",-1.4813573,36.9585479,"Level 2","Kajiado",NA,"Kitengela town","open","Medical Center","Private",10791,"Kajiado",TRUE
"Equity Afia Muranga (Muranga)",-0.7210236,37.1575049,"Level 3","Muranga",NA,"Township","open","Medical Center","Private",10792,"Muranga",TRUE
"Lafey Care Nursing Home (Mandera)",3.1512953,41.1861678,"Level 3","Mandera",NA,"Lafey","open","Nursing Home","Private",10793,"Mandera",TRUE
"The Nasra Cottage Hospital (Nairobi)",-1.2807352,36.9054709,"Level 3","Nairobi",NA,"Nasra","open","Medical Center","Private",10794,"Nairobi",TRUE
"Clastan Medical Services (Kirinyaga)",-0.4975131,37.3507699,"Level 3","Kirinyaga",NA,"Baragwi","open","Medical Center","Private",10795,"Kirinyaga",TRUE
"Eclim Medical Clinic (Nyandarua)",-0.3323017,36.2576526,"Level 2","Nyandarua",NA,"Kanjuiri","open","Medical Clinic","Private",10796,"Nyandarua",TRUE
"Wonder Slopes Medical Clinic (Nakuru)",-0.7190942,36.4344882,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10797,"Nakuru",TRUE
"Al-Rahman Nursing Home Ltd (Mandera)",3.1498182,41.1837929,"Level 3","Mandera",NA,"Lafey","open","Nursing Home","Private",10798,"Mandera",TRUE
"Orac Dental And Associates Limited (Nairobi)",-1.2864483,36.8276469,"Level 2","Nairobi",NA,"Starehe","open","other","Private",10799,"Nairobi",TRUE
"The Mater Misericordiae Cbd (Nairobi)",-1.2881466,36.8274976,"Level 3","Nairobi",NA,"Starehe","open","Medical Center","Faith Based",10800,"Nairobi",TRUE
"Dr.mike Jino (Nairobi)",-1.2874018,36.8286088,"Level 2","Nairobi",NA,"Starehe","open","Medical Clinic","Private",10801,"Nairobi",TRUE
"St James Medical Centre And Health Services (Meru)",-0.1184941,37.5976483,"Level 2","Meru",NA,"Abogeta West","open","Medical Clinic","Private",10802,"Meru",TRUE
"Equity Afia Medical Centre (Githunguri) (Kiambu)",-1.0590767,36.7746858,"Level 3","Kiambu",NA,"Githunguri","open","Medical Center","Private",10803,"Kiambu",TRUE
"Aar Healthcare Meru Branch (Meru)",0.046937,37.6535533,"Level 2","Meru",NA,"Municipality","open","Medical Center","Private",10804,"Meru",TRUE
"How Medical Laboratory (Meru)",0.0459401,37.6530861,"Level 2","Meru",NA,"Municipality","open","Stand-Alone service","Private",10805,"Meru",TRUE
"Bethsaida Medical Clinic Kinanie Athi River (Machakos)",-1.403965,37.0306817,"Level 2","Machakos",NA,"Kinanie","open","Medical Clinic","Private",10806,"Machakos",TRUE
"Startech Medical Laboratory (Laikipia)",0.0342622,36.3596946,"Level 2","Laikipia",NA,"Igwamiti","open","Stand-Alone service","Private",10807,"Laikipia",TRUE
"Kianthiga (Tharaka Nithi)",-0.3972933,37.7502717,"Level 2","Tharaka Nithi",NA,"Weeru","open","Dispensary","Government/Public Entity",10808,"Tharaka Nithi",TRUE
"Erijane Medic Care Limited (Kajiado)",-1.4796602,36.9570858,"Level 2","Kajiado",NA,"Kitengela","open","Medical Clinic","Private",10809,"Kajiado",TRUE
"Mk Health Clinic (Kirinyaga)",-0.4962047,37.3510127,"Level 2","Kirinyaga",NA,"Baragwi","open","Medical Clinic","Private",10810,"Kirinyaga",TRUE
"Mediscope Clinic (Nakuru)",-0.7190759,36.434958,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10811,"Nakuru",TRUE
"Muruguru Nursing Home (Nyeri)",-0.3267136,36.907727,"Level 3","Nyeri",NA,"Mweiga kieni west","open","Nursing Home","Private",10812,"Nyeri",TRUE
"Mt Carmel Medical And Surgical Centre (Meru)",-0.0967702,37.5971364,"Level 2","Meru",NA,"Abogeta West","open","Medical Clinic","Private",10813,"Meru",TRUE
"Meno Smart Dental Clinic (Meru)",0.0498052,37.6521427,"Level 2","Meru",NA,"Municipality","open","Stand-Alone service","Private",10814,"Meru",TRUE
"Parkerra Medical Centre And Maternity (Baringo)",0.4697527,35.9803403,"Level 3","Baringo",NA,"Marigat","open","Medical Center","Private",10815,"Baringo",TRUE
"Optimum Dental Technologies (Nakuru)",-0.7187061,36.4350198,"Level 2","Nakuru",NA,"Viwandani","open","Stand-Alone service","Private",10816,"Nakuru",TRUE
"Indangalasia Dispensary",0.3167554,34.3949827,"Level 2","Kakamega","Matungu","Koyonzo","open","Dispensary","Government/Public Entity",10817,"Kakamega",TRUE
"Vavel Medical Centre (Nairobi)",-1.3101976,36.8877931,"Level 2","Nairobi",NA,"Embakasi South","open","Medical Center","Private",10818,"Nairobi",TRUE
"Express Family Care (Meru)",-0.0766065,37.616187,"Level 2","Meru",NA,"Ngwene ward","open","Medical Clinic","Private",10819,"Meru",TRUE
"Mbita Dispensary (Embu)",-0.6374104,37.594523,"Level 2","Embu",NA,"Mbeti south","open","Dispensary","Government/Public Entity",10820,"Embu",TRUE
"Diplomat Health Services (Nakuru)",-0.7184401,36.4363199,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10821,"Nakuru",TRUE
"Mesitrust Healthcare Services (Mombasa)",-4.0227533,39.7048917,"Level 3","Mombasa",NA,"Kadzandani","open","Health Center","Private",10822,"Mombasa",TRUE
"Semec Diagnostic Imaging Centre (Siaya)",0.0629363,34.2890039,"Level 2","Siaya",NA,"Township ward","open","Stand-Alone service","Private",10823,"Siaya",TRUE
"Nyopar Clinic (Homa Bay)",-0.4219044,34.2065855,"Level 2","Homa Bay",NA,"Kasgunga","open","Medical Clinic","Private",10824,"Homa Bay",TRUE
"Kisauni Drop In Centre (Mombasa)",-4.0228831,39.7223216,"Level 2","Mombasa",NA,"Kadzandani","open","other","Non-Governmental Organization",10825,"Mombasa",TRUE
"Murera Health Services (Kiambu)",-1.1470324,36.9601524,"Level 2","Kiambu",NA,"Biashara","open","Medical Clinic","Private",10826,"Kiambu",TRUE
"Koyo Medical Clinic (Nandi)",0.0723683,35.0894467,"Level 2","Nandi",NA,"Kaptumo/kaboi","open","Medical Clinic","Private",10827,"Nandi",TRUE
"St.abigail Health Centre (Nakuru)",-0.2781898,36.1706722,"Level 3","Nakuru",NA,"Lanet","open","Medical Center","Private",10828,"Nakuru",TRUE
"Wesley Mission Hospital (Nakuru)",-0.2776427,36.1708753,"Level 3","Nakuru",NA,"Lanet","open","Health Center","Faith Based",10829,"Nakuru",TRUE
"Fai-Care Medical Clinic (Machakos)",-1.4734648,36.9907446,"Level 2","Machakos",NA,"Athi River","open","Medical Clinic","Private",10830,"Machakos",TRUE
"Ngo'nga'dispensary (Migori)",-0.9530133,34.5434683,"Level 2","Migori",NA,"South sakwa","open","Dispensary","Government/Public Entity",10831,"Migori",TRUE
"Unit Laboratory (Makueni)",-1.5961132,37.4371403,"Level 2","Makueni",NA,"Tulimani","open","Stand-Alone service","Private",10832,"Makueni",TRUE
"Marka Healthcare (Meru)",0.2759305,37.885991,"Level 2","Meru",NA,"Kangeta","open","Medical Clinic","Private",10833,"Meru",TRUE
"Wama Medical Clinic (Mukaro) (Nyeri)",-0.425025,36.9567672,"Level 2","Nyeri",NA,"Rware","open","Medical Clinic","Private",10834,"Nyeri",TRUE
"Hospichem Medical Clinic (Nairobi)",-1.2564016,36.9206842,"Level 2","Nairobi",NA,"Njiru","open","Medical Clinic","Private",10835,"Nairobi",TRUE
"Penda Medical Centre (Nairobi)",-1.2091279,36.8949644,"Level 2","Nairobi",NA,"Zimmaman","open","Medical Center","Private",10836,"Nairobi",TRUE
"Edvan Medical Centre (Nairobi)",-1.2275195,36.9257258,"Level 2","Nairobi",NA,"Clay City","open","Medical Clinic","Private",10837,"Nairobi",TRUE
"Even Medical Centre (Nairobi)",-1.2866683,36.8886708,"Level 2","Nairobi",NA,"Embakasi West","open","Medical Center","Private",10838,"Nairobi",TRUE
"Live Life Medical Centre Ltd (Mombasa)",-3.9892165,39.710391,"Level 3","Mombasa",NA,"Bamburi","open","Health Center","Private",10839,"Mombasa",TRUE
"Wenje Diensary (Tana River)",-1.7895363,40.1088006,"Level 2","Tana River",NA,"Kinakomba","open","Dispensary","Government/Public Entity",10840,"Tana River",TRUE
"Wenje Catholic Dispensary (Tana River)",-1.7923582,40.10968,"Level 2","Tana River",NA,"Kinakomba","open","Dispensary","Faith Based",10841,"Tana River",TRUE
"Achudan Medical Centre Ltd (Machakos)",-1.3919814,36.9417257,"Level 2","Machakos",NA,"Syokimau/Mlolongo","open","Medical Clinic","Private",10842,"Machakos",TRUE
"Braycious Pharmacy And Medical (Nairobi)",-1.3108142,36.8871561,"Level 2","Nairobi",NA,"Embakasi South","open","Medical Center","Private",10843,"Nairobi",TRUE
"St Ann's Medical Centre (Kiambu)",-1.1631732,36.6391154,"Level 3","Kiambu",NA,"Limuru Central","open","Medical Center","Private",10844,"Kiambu",TRUE
"Maximal Dental Clinic (Kiambu)",-1.1674536,36.9639218,"Level 2","Kiambu",NA,"Gatongora","open","Stand-Alone service","Private",10845,"Kiambu",TRUE
"Royal Smiles Dental Clinic Limited -Kitengela (Kajiado)",-1.4751535,36.9585571,"Level 2","Kajiado",NA,"Oloosirkon/Sholinke","open","Stand-Alone service","Private",10846,"Kajiado",TRUE
"Royal Smiles Dental Clinic (Nairobi)",-1.2582262,36.9163291,"Level 2","Nairobi",NA,"Saika","open","Medical Clinic","Private",10847,"Nairobi",TRUE
"Ollesos Model Health Centre (Nandi)",0.2116134,35.2945366,"Level 3","Nandi",NA,"Ollesos","open","Health Center","Government/Public Entity",10848,"Nandi",TRUE
"Ting Wangi Health Centre (Siaya)",-0.0243358,34.2827677,"Level 2","Siaya",NA,"Alego Usonga","open","Health Center","Government/Public Entity",10849,"Siaya",TRUE
"Shasyt Annex Health Care Services (Narok)",-1.108735,36.2411633,"Level 2","Narok",NA,"Keekonyokie","open","Medical Clinic","Private",10850,"Narok",TRUE
"Tumaini Medical Clinic (Homa Bay)",-0.5995467,34.5823333,"Level 2","Homa Bay",NA,"East Gem","open","Medical Clinic","Private",10851,"Homa Bay",TRUE
"Hefizibar Medical Clinic (Nyeri)",-0.4262894,36.9568217,"Level 2","Nyeri",NA,"Rware","open","Medical Clinic","Private",10852,"Nyeri",TRUE
"Africrystalcare Medical Centre Ltd (Nyeri)",-0.4249926,36.9542252,"Level 2","Nyeri",NA,"Rware","open","Stand-Alone service","Private",10853,"Nyeri",TRUE
"Marie Stopes Kenya Thika Clinic (Kiambu)",-1.0357087,37.0752429,"Level 2","Kiambu",NA,"Township","open","Medical Clinic","Non-Governmental Organization",10854,"Kiambu",TRUE
"Fine Health Medical Centre And Maternity. (Laikipia)",0.0335144,36.3595126,"Level 3","Laikipia",NA,"Igwamiti","open","Medical Center","Private",10855,"Laikipia",TRUE
"Gongo Health Centre (Homa Bay)",-0.5281552,34.6212193,"Level 3","Homa Bay",NA,"Kagan","open","Health Center","Government/Public Entity",10856,"Homa Bay",TRUE
"Unga Health Centre (Homa Bay)",-0.7597528,34.4133969,"Level 3","Homa Bay",NA,"North Kabuoch","open","Health Center","Government/Public Entity",10857,"Homa Bay",TRUE
"Welland Medical Centre (Murang'a)",-0.9365039,37.122107,"Level 2","Muranga",NA,"Kagunduini","open","Medical Clinic","Private",10858,"Muranga",TRUE
"Mudete High Way Medicare (Vihiga)",0.1169069,34.7646194,"Level 2","Vihiga",NA,"Chavakali","open","Medical Clinic","Private",10859,"Vihiga",TRUE
